Index,State,Year,DoY,Event_Label,Event_Obs,Date,Sex,Site,Orchard,Genotype,Tree,X,Y,Source
1557,2,2011,164,last_flowering,3,2011-06-13,FEMALE,PGTIS,220,1598,NA,C,47,Rita Wagner
1558,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,980,NA,DD,3,Rita Wagner
1558,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,980,NA,DD,3,Rita Wagner
1559,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,980,NA,DD,15,Rita Wagner
1559,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,980,NA,DD,15,Rita Wagner
1560,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,984,NA,A,46,Rita Wagner
1560,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,984,NA,A,46,Rita Wagner
1561,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,984,NA,C,8,Rita Wagner
1561,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,984,NA,C,8,Rita Wagner
1562,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,985,NA,A,27,Rita Wagner
1562,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,985,NA,A,27,Rita Wagner
1563,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,985,NA,A,36,Rita Wagner
1563,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,985,NA,A,36,Rita Wagner
1564,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,988,NA,A,37,Rita Wagner
1564,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,988,NA,A,37,Rita Wagner
1565,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,988,NA,L,47,Rita Wagner
1565,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,988,NA,L,47,Rita Wagner
1566,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1472,NA,A,45,Rita Wagner
1566,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1472,NA,A,45,Rita Wagner
1567,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1472,NA,B,1,Rita Wagner
1567,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1472,NA,B,1,Rita Wagner
1567,3,2011,171,past_flowering,4,2011-06-20,MALE,PGTIS,220,1472,NA,B,1,Rita Wagner
1568,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1475,NA,CC,35,Rita Wagner
1568,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1475,NA,CC,35,Rita Wagner
1569,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1475,NA,F,8,Rita Wagner
1569,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1475,NA,F,8,Rita Wagner
1570,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1478,NA,DD,20,Rita Wagner
1570,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1478,NA,DD,20,Rita Wagner
1571,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1478,NA,DD,41,Rita Wagner
1571,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1478,NA,DD,41,Rita Wagner
1572,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1479,NA,F,15,Rita Wagner
