"Orchard","Clone","X","Y","receptive20","pollenshed20","receptive80","pollenshed80","pickdate","total_cone_weight_kg","thirty_cone_weight_g","Site"
"339","862","35","12",2011-05-26,2011-05-24,2011-05-29,2011-05-28,2011-08-18,4.24,0.33,"Tolko"
"339","887","35","39",2011-05-26,2011-05-25,2011-05-30,2011-05-29,2011-08-19,1.56,0.362,"Tolko"
"339","1046","35","6",2011-05-24,2011-05-24,2011-05-30,2011-05-28,2011-08-17,2.78,0.425,"Tolko"
"339","1072","35","15",2011-05-26,2011-05-27,2011-05-30,2011-05-31,2011-08-18,2.68,0.215,"Tolko"
"339","1083","34","25",2011-05-25,2011-05-22,2011-05-29,2011-05-24,2011-08-19,3.14,0.293,"Tolko"
"339","1089","36","18",2011-05-26,2011-05-22,2011-05-29,2011-05-24,2011-08-19,0.7,0.272,"Tolko"
"339","1094","35","13",2011-05-25,2011-05-22,2011-05-28,2011-05-24,2011-08-18,1.08,0.226,"Tolko"
"339","1101","36","8",2011-05-24,2011-05-24,2011-06-01,2011-05-30,2011-08-17,4.12,0.233,"Tolko"
"339","1127","36","7",2011-05-24,2011-05-24,2011-05-28,2011-05-29,2011-08-17,2.86,0.335,"Tolko"
"339","1151","35","33",2011-05-30,2011-05-24,2011-06-01,2011-05-30,2011-08-19,2.24,0.316,"Tolko"
"237","4182","2","37",2010-05-29,2010-05-31,2010-05-31,NA,2010-09-02,NA,NA,"KettleRiver"
"237","9004","5","10",2010-05-25,2010-05-25,2010-05-27,2010-05-29,2010-09-02,NA,NA,"KettleRiver"
"237","331","8","12",2010-05-31,2010-05-31,2010-06-02,2010-06-05,2010-09-02,NA,NA,"KettleRiver"
"237","4201","9","50",2010-05-27,2010-05-27,2010-05-31,2010-06-04,2010-09-02,NA,NA,"KettleRiver"
"237","9004","9","63",2010-05-26,NA,2010-05-31,NA,2010-09-02,NA,NA,"KettleRiver"
"237","4180","13","34",2010-05-27,NA,NA,NA,2010-09-02,NA,NA,"KettleRiver"
"237","331","12","10",2010-05-31,2010-05-31,2010-06-03,2010-06-06,2010-09-02,NA,NA,"KettleRiver"
"237","4207","19","2",NA,NA,NA,NA,2010-09-02,NA,NA,"KettleRiver"
"237","331","19","17",2010-05-27,2010-05-27,2010-05-31,2010-06-04,2010-09-02,NA,NA,"KettleRiver"
"237","219","16","20",2010-05-24,2010-05-24,2010-05-27,2010-05-30,2010-09-02,NA,NA,"KettleRiver"
"237","4174","16","42",NA,2010-05-31,NA,2010-06-03,2010-09-02,NA,NA,"KettleRiver"
"237","4177","14","55",2010-05-27,2010-05-31,2010-05-31,2010-06-03,2010-09-02,NA,NA,"KettleRiver"
"237","328","20","86",2010-05-26,NA,2010-05-31,NA,2010-09-02,NA,NA,"KettleRiver"
"237","9004","24","107",2010-05-27,2010-05-31,2010-05-31,2010-06-03,2010-09-02,NA,NA,"KettleRiver"
